23Q7A 878 (0, -855998) 1
25Q47 739 (0, -912522) 2
26T7A 345 (0, -937287) 3
27T34 134 (0, -965042) 4
2897K 321 (0, -992199) 5
2935K 543 (0, -1007240) 6
2T476 90 (0, -1038245) 7
2T6Q5 559 (0, -1043471) 8
2J4KA 43 (0, -1067924) 9
2J876 713 (0, -1075594) 10
2JT9K 136 (0, -1080417) 11
2Q695 273 (0, -1100086) 12
2Q93J 755 (0, -1105741) 13
2K597 742 (0, -1126476) 14
3298A 325 (0, -1192308) 15
32KJT 733 (0, -1201551) 16
3562T 877 (0, -1270334) 17
3769A 429 (0, -1328691) 18
37K2A 348 (0, -1342887) 19
37A25 300 (0, -1344967) 20
382QA 320 (0, -1348971) 21
39K28 665 (0, -1399931) 22
3T549 811 (0, -1411267) 23
3J698 837 (0, -1442857) 24
3QJAK 241 (0, -1483313) 25
3KJ75 547 (0, -1510587) 26
436J2 685 (0, -1585922) 27
456J8 15 (0, -1643122) 28
469T8 72 (0, -1678105) 29
4732A 420 (0, -1692210) 30
473Q6 988 (0, -1693796) 31
475K6 109 (0, -1698359) 32
4853Q 476 (0, -1725308) 33
4938T 156 (0, -1750294) 34
49586 515 (0, -1754636) 35
4T7A5 956 (0, -1788592) 36
4T9K6 997 (0, -1792830) 37
4J9K8 353 (0, -1821417) 38
4K586 760 (0, -1868880) 39
4K92J 33 (0, -1876719) 40
4A2T5 984 (0, -1891175) 41
4A638 880 (0, -1898819) 42
4AK87 78 (0, -1915030) 43
52T67 177 (0, -1936662) 44
53Q8K 257 (0, -1970033) 45
5637T 734 (0, -2035735) 46
57A9J 996 (0, -2088814) 47
57AQ4 671 (0, -2089230) 48
584JT 743 (0, -2095730) 49
58KA4 795 (0, -2115932) 50
592A6 449 (0, -2120352) 51
59873 555 (0, -2132312) 52
59J8A 692 (0, -2139215) 53
59Q7T 944 (0, -2141191) 54
5T9K4 780 (0, -2164097) 55
5TK47 395 (0, -2171403) 56
5JAT8 778 (0, -2203188) 57
5QT27 959 (0, -2221596) 58
5QT2J 854 (0, -2221648) 59
5QK4A 474 (0, -2228616) 60
5K6Q2 971 (0, -2242994) 61
5KJ74 866 (0, -2253160) 62
5A32J 943 (0, -2263391) 63
5A8JK 447 (0, -2275923) 64
5A9KQ 494 (0, -2278445) 65
627JK 894 (0, -2302287) 66
62J57 890 (0, -2309983) 67
6347A 497 (0, -2323594) 68
654A9 700 (0, -2381834) 69
687A5 528 (0, -2474056) 70
694T2 679 (0, -2495311) 71
6T789 167 (0, -2530216) 72
6J32T 380 (0, -2548988) 73
6JQ3A 459 (0, -2568982) 74
6JA9K 950 (0, -2574377) 75
6Q3JT 909 (0, -2579070) 76
6QJ23 746 (0, -2595034) 77
6A328 246 (0, -2634645) 78
6A583 814 (0, -2639988) 79
6AT54 79 (0, -2650479) 80
6AQJ8 439 (0, -2655939) 81
72Q5A 908 (0, -2683564) 82
73A6T 106 (0, -2716636) 83
74K28 523 (0, -2742298) 84
75468 282 (0, -2751762) 85
75496 4 (0, -2752243) 86
754TQ 74 (0, -2752490) 87
75682 960 (0, -2756416) 88
78T2A 112 (0, -2850029) 89
7T6J2 977 (0, -2899728) 90
7JAKQ 812 (0, -2946333) 91
7QTJ5 363 (0, -2965677) 92
7QTJ6 152 (0, -2965690) 93
7QK65 716 (0, -2971423) 94
7K523 985 (0, -2981706) 95
7A6Q9 220 (0, -3014232) 96
823A4 457 (0, -3036475) 97
834A9 688 (0, -3067298) 98
835J9 601 (0, -3068988) 99
84697 581 (0, -3099382) 100
85926 435 (0, -3133338) 101
8692A 844 (0, -3162003) 102
86Q35 764 (0, -3168646) 103
8734Q 538 (0, -3177694) 104
87QAK 970 (0, -3199170) 105
87K5J 730 (0, -3199820) 106
89TJ4 245 (0, -3251274) 107
8J49Q 458 (0, -3294980) 108
8Q6AT 973 (0, -3328754) 109
8Q756 163 (0, -3329378) 110
8QJ2A 239 (0, -3337763) 111
8QK4J 233 (0, -3342456) 112
8K3AT 934 (0, -3350724) 113
8KATJ 651 (0, -3374228) 114
8A294 57 (0, -3376165) 115
8A7TJ 682 (0, -3387410) 116
8AQ2T 297 (0, -3397030) 117
8AK5Q 230 (0, -3399760) 118
93528 31 (0, -3438747) 119
93T5A 365 (0, -3450317) 120
93K65 966 (0, -3456960) 121
95K3Q 279 (0, -3513666) 122
97QAT 143 (0, -3570424) 123
9T634 231 (0, -3640988) 124
9TQ3A 466 (0, -3654300) 125
9JAT5 487 (0, -3688321) 126
9QJKA 569 (0, -3710915) 127
9K584 564 (0, -3725319) 128
9K5Q2 341 (0, -3725969) 129
9K8Q4 464 (0, -3732586) 130
9AJK8 556 (0, -3767959) 131
T2784 59 (0, -3786835) 132
T3785 237 (0, -3815409) 133
T3A68 432 (0, -3830489) 134
T42A8 624 (0, -3834038) 135
T4K3A 847 (0, -3856424) 136
T5297 133 (0, -3861741) 137
T5974 181 (0, -3876743) 138
T6245 917 (0, -3889431) 139
T6379 661 (0, -3892187) 140
T6782 898 (0, -3901053) 141
T6JAK 586 (0, -3910998) 142
T74AQ 304 (0, -3924167) 143
T8275 436 (0, -3947060) 144
T8325 888 (0, -3948412) 145
T8A47 613 (0, -3972943) 146
TJ79Q 969 (0, -4044157) 147
TQ5K8 819 (0, -4068948) 148
TQK49 748 (0, -4085016) 149
TA259 173 (0, -4118140) 150
TA48J 618 (0, -4123067) 151
TAK54 455 (0, -4142242) 152
J2357 196 (0, -4148872) 153
J2475 495 (0, -4151381) 154
J3768 536 (0, -4186403) 155
J4739 816 (0, -4214470) 156
J547T 595 (0, -4237129) 157
J5T82 718 (0, -4250376) 158
J65AK 801 (0, -4269109) 159
J6729 467 (0, -4271423) 160
J7495 628 (0, -4294524) 161
JKA93 887 (0, -4487834) 162
JA82K 978 (0, -4502160) 163
JA946 582 (0, -4504604) 164
Q3749 295 (0, -4557371) 165
Q38T2 709 (0, -4560491) 166
Q3K9A 29 (0, -4571463) 167
Q42K9 147 (0, -4576468) 168
Q4578 294 (0, -4582032) 169
Q4635 558 (0, -4583514) 170
Q46K3 20 (0, -4585178) 171
Q4AJ3 394 (0, -4602416) 172
Q5T96 417 (0, -4621890) 173
Q69JT 939 (0, -4648644) 174
Q743J 200 (0, -4664881) 175
Q8965 139 (0, -4704856) 176
Q9756 30 (0, -4728867) 177
Q9T6K 513 (0, -4735718) 178
QT95K 285 (0, -4761913) 179
QK327 750 (0, -4833829) 180
QA459 456 (0, -4865120) 181
QA72T 554 (0, -4871217) 182
QAT42 951 (0, -4878042) 183
K268T 967 (0, -4898595) 184
K2AQ3 144 (0, -4916756) 185
K3TQ7 115 (0, -4936581) 186
K462A 508 (0, -4954755) 187
K4923 752 (0, -4961203) 188
K5T89 243 (0, -4993053) 189
K6945 322 (0, -5018689) 190
K8693 871 (0, -5070039) 191
K896A 93 (0, -5076266) 192
KQ38A 412 (0, -5177666) 193
KQ467 64 (0, -5179434) 194
KQ8A9 608 (0, -5189600) 195
KQJT7 501 (0, -5195489) 196
KA749 40 (0, -5242835) 197
KAQ25 927 (0, -5253430) 198
A38T4 968 (0, -5303103) 199
A568Q 98 (0, -5355597) 200
A5TQ9 805 (0, -5365022) 201
A6K78 160 (0, -5399316) 202
A75T9 425 (0, -5410821) 203
A7Q8T 983 (0, -5425875) 204
A7KJT 309 (0, -5428579) 205
A83K4 905 (0, -5435430) 206
A937J 37 (0, -5463068) 207
A96Q2 302 (0, -5470387) 208
A984Q 821 (0, -5473559) 209
ATKJ5 82 (0, -5514197) 210
AJ482 255 (0, -5522439) 211
AQ2T6 99 (0, -5546996) 212
AK26J 964 (0, -5574946) 213
AKT86 936 (0, -5592795) 214
229QA 633 (1, -821691) 215
23AQ3 600 (1, -861094) 216
244A5 465 (1, -868049) 217
2474J 483 (1, -873028) 218
25328 815 (1, -892424) 219
25895 268 (1, -904553) 220
26744 850 (1, -930059) 221
26J77 823 (1, -939393) 222
27J4J 202 (1, -967499) 223
27JJ5 686 (1, -968604) 224
2933J 678 (1, -1006876) 225
29379 972 (1, -1007526) 226
29983 540 (1, -1020799) 227
2T8AT 502 (1, -1048268) 228
2TA99 406 (1, -1060592) 229
2J254 722 (1, -1062048) 230
2J848 655 (1, -1075113) 231
2JT62 398 (1, -1079767) 232
2JAA9 224 (1, -1089998) 233
2QT2K 75 (1, -1107795) 234
2QQ76 510 (1, -1112943) 235
2K5JK 768 (1, -1126892) 236
2KK75 339 (1, -1143688) 237
33TJ9 414 (1, -1223508) 238
33J8K 158 (1, -1225250) 239
34532 368 (1, -1239641) 240
352K2 94 (1, -1263301) 241
3667J 791 (1, -1299753) 242
36J6A 97 (1, -1310608) 243
36Q43 696 (1, -1312324) 244
37627 873 (1, -1327417) 245
38298 643 (1, -1348386) 246
38466 461 (1, -1352247) 247
38J39 922 (1, -1367158) 248
3943J 13 (1, -1380366) 249
39AAT 424 (1, -1404182) 250
3TJQT 668 (1, -1425814) 251
3J432 786 (1, -1437371) 252
3J9TT 629 (1, -1449643) 253
3JT37 463 (1, -1450618) 254
3JJ69 154 (1, -1453348) 255
3QQ89 446 (1, -1484444) 256
3QK3J 289 (1, -1485822) 257
3AT9T 897 (1, -1537354) 258
42T2Q 108 (1, -1564758) 259
44JK8 14 (1, -1625884) 260
44JKQ 287 (1, -1625936) 261
46526 327 (1, -1667939) 262
46887 704 (1, -1675557) 263
46T5T 550 (1, -1679483) 264
46K48 336 (1, -1685879) 265
4828A 215 (1, -1719588) 266
48J24 238 (1, -1738217) 267
4T6T8 544 (1, -1785758) 268
4T7JJ 563 (1, -1788163) 269
4J66K 263 (1, -1813708) 270
4Q45T 180 (1, -1837667) 271
4K93K 928 (1, -1876914) 272
4A43T 653 (1, -1894451) 273
52K8K 453 (1, -1943669) 274
535JQ 411 (1, -1955148) 275
537KK 225 (1, -1959893) 276
5434Q 232 (1, -1978132) 277
54523 935 (1, -1982071) 278
55J2K 81 (1, -2023944) 279
5JT8J 741 (1, -2194101) 280
5JK88 876 (1, -2200653) 281
5QQ38 349 (1, -2226172) 282
5KJT5 672 (1, -2253680) 283
5A338 86 (1, -2263521) 284
622T7 622 (1, -2291055) 285
62757 575 (1, -2301195) 286
62J2K 445 (1, -2309554) 287
646TQ 783 (1, -2357030) 288
657J6 291 (1, -2387879) 289
6637Q 53 (1, -2407054) 290
66J2K 396 (1, -2423798) 291
66A53 793 (1, -2430766) 292
6737Q 641 (1, -2435615) 293
67T33 444 (1, -2450201) 294
67JQ7 266 (1, -2453971) 295
68J67 391 (1, -2481518) 296
68A33 169 (1, -2487550) 297
696JQ 631 (1, -2500004) 298
6993K 616 (1, -2505256) 299
6T747 740 (1, -2529514) 300
6TAA4 286 (1, -2546544) 301
6J447 303 (1, -2551484) 302
6J624 635 (1, -2555501) 303
6KQ6J 962 (1, -2626572) 304
6A2QQ 942 (1, -2634190) 305
724AA 516 (1, -2667509) 306
7343T 829 (1, -2694159) 307
7553K 352 (1, -2753517) 308
76TTA 858 (1, -2794259) 309
76A96 947 (1, -2802774) 310
774J9 798 (1, -2809742) 311
778J3 751 (1, -2818452) 312
77QJ3 587 (1, -2827240) 313
795K7 723 (1, -2869373) 314
79KJK 77 (1, -2886689) 315
7J696 338 (1, -2928003) 316
7JJ8K 708 (1, -2938910) 317
7JK88 640 (1, -2943239) 318
7JAAQ 580 (1, -2946502) 319
7Q228 557 (1, -2946619) 320
7QJ3J 770 (1, -2966600) 321
7QJ97 694 (1, -2967562) 322
7QA72 498 (1, -2973750) 323
7K45K 567 (1, -2980146) 324
7AK4K 201 (1, -3028311) 325
82279 283 (1, -3033160) 326
82J87 89 (1, -3053076) 327
838T6 250 (1, -3075371) 328
84497 217 (1, -3094988) 329
85534 862 (1, -3124693) 330
862K6 369 (1, -3148379) 331
8699J 172 (1, -3163147) 332
8744K 727 (1, -3179904) 333
